jname,x,y,hex_color
"Revista Brasileira De Hematologia E Hemoterapia",0.8908094991177689,0.4857824376720836,#FF0000
"Research in Rural Sociology and Development",0.3602627238494764,0.5125469913087739,#ffff0c
"Zeitschrift Fur Gastroenterologie",0.8829093093450077,0.22137942236225788,#FF0000
"Journal of Nematology",0.6637775953884106,0.9101266360015772,#20c157
"Journal of Consumer Policy",0.3645522387630572,0.4313607949737641,#ffff0c
"Economia Chilena",0.1391585478196289,0.4283286449506503,#ffff0c
"Acc Current Journal Review",0.7885807712916311,0.31905173242249485,#FF0000
"Womens Health Issues",0.6800785765200532,0.3040227124732503,#8B6508
"Human & Experimental Toxicology",0.6015850560723276,0.5180345073480014,#8B6508
"Arthritis Research & Therapy",0.9287601730708838,0.4119041934039835,#FF0000
"Journal of Glbt Family Studies",0.4080709677414438,0.19671790711510187,#ffff0c
"Australian Historical Studies",0.14529809071899272,0.2881774933843143,#ffff0c
"Perceptual and Motor Skills",0.4047214931355366,0.3025286968497659,#8B6508
"Physiological and Molecular Plant Pathology",0.6885750861735688,0.8928358173331741,#6B8E23
"Journal of Mathematical Psychology",0.3712919704518473,0.3172768956738345,#CDC673
"Contemporary Accounting Research",0.05931471083711976,0.4237835798439045,#ffff0c
"Journal of Mass Spectrometry",0.6183826207163403,0.6509087491129499,#0001fa
"Pratiques Psychologiques",0.4079919876130339,0.2505701976484903,#8B6508
"Iet Intelligent Transport Systems",0.2708441068623275,0.5903823019961004,#2dffff
"Economie Et Statistique",0.2567823137978594,0.2199258301704633,#ffff0c
"Memoirs of the American Mathematical Society",0.11521239494815355,0.7261647609776763,#663788
"International Journal of Research & Method in Education",0.3633342804512297,0.04193164675282557,#ffff0c
"English Literature in Transition 1880-1920",0.12612038598952108,0.2029462129635404,#EE9A00
"International Journal of Medical Informatics",0.5567686961108586,0.3362578587091289,#8B6508
"Psychoanalytic Social Work",0.4419876426504595,0.1719947027752571,#8B6508
"Occupational Therapy in Mental Health",0.5089873625045626,0.1097217758100138,#CDC673
"Journal of Consumer Affairs",0.3639495075180446,0.4314779219676574,#ffff0c
"Lymphology",0.833821487276458,0.5225653217314767,#FF0000
"Heteroatom Chemistry",0.5467995209190005,0.6608468805032603,#0001fa
"IEEE Transactions on Electronics Packaging Manufacturing",0.3930909694331873,0.6828929583386916,#fb01ff
"Journal of Industrial and Management Optimization",0.15784776709882573,0.7001347517993827,#663788
"Collegium Antropologicum",0.6740502730660095,0.3522273945968177,#20c157
"Journal of Plant Biology",0.6930742001597626,0.8132399026640508,#20c157
"Natural Resource Modeling",0.437799888889758,0.534126912677399,#ffff0c
"Comptes Rendus Mecanique",0.32174514232301465,0.7782234659585866,#2dffff
"Physics and Chemistry of Liquids",0.5199517400917556,0.72078520739131,#2dffff
"Investigacion Bibliotecologica",0.019568508154188632,0.4973538190917144,#fb01ff
"Hepatology",0.9090259322315688,0.2316195243771376,#FF0000
"Nature Reviews Neurology",0.6481520939865966,0.18779792600248324,#CDC673
"Acta Phytotaxonomica Sinica",0.6386800501781237,0.8439114032367964,#20c157
"Diachronica",0.2183200815895905,0.07555055097607995,#EE9A00
"Iranian Journal of Fisheries Sciences",0.545856831355327,0.9720030045745368,#20c157
"International Journal of Machine Tools & Manufacture",0.25743304941221706,0.5608933316769081,#2dffff
"Journal of Indian Philosophy",0.0913386220552721,0.2819964287854602,#ffff0c
"Journal of Molecular Spectroscopy",0.4798025539817744,0.6570267032147699,#0001fa
"International Journal of Sport Psychology",0.42662781358798224,0.2612685580626337,#8B6508
"Journal of Aquatic Food Product Technology",0.6605536492555916,0.6871577281151016,#0001fa
"Journal of Superconductivity",0.4092937313330967,0.6451780807461113,#663788
"European Journal of Ageing",0.5359454604387309,0.1479115471592062,#8B6508
"Optics Letters",0.3674162659029376,0.6269272365592334,#fb01ff
"Australian Journal of Crop Science",0.6801645943047042,0.7796917380518372,#20c157
"Accounting Perspectives",0.06016766213119775,0.4193703957037563,#ffff0c
"Frontiers in Human Neuroscience",0.4468430846501609,0.32607601777608197,#CDC673
"Spe Reservoir Evaluation & Engineering",0.4217327532441566,0.8546509148539977,#2dffff
"Chemistry of Natural Compounds",0.6229335687193001,0.6166380740280366,#0001fa
"Mondo Ortodontico",0.6021608703242561,0.4232998904117604,#8B6508
"European Respiratory Review",0.9864938128456012,0.44665303486101465,#FF0000
"Journal for General Philosophy of Science",0.05797004141851806,0.3075974648558513,#EE9A00
"Persoonia",0.6693893882495064,0.8735827565648303,#20c157
"Drugs",0.6419781838071107,0.4974309909892721,#FF0000
"Journal of Criminal Justice Education",0.3467068585885194,0.19997988809619496,#ffff0c
"Journal of The American Society for Surgery of The Hand",0.7392965625841976,0.12154850488242147,#8B6508
"Probability Theory and Related Fields",0.08364171931014405,0.6768309321186627,#663788
"Iubmb Life",0.7293496521657022,0.5682042259882447,#6B8E23
"Journal of Medical Ultrasound",0.7803865060376773,0.20435057729173625,#FF0000
"Journal of Social Policy",0.2972107555748396,0.2740634458093132,#ffff0c
"Indian Journal of Biotechnology",0.6833619382693719,0.7735131052639852,#20c157
"Contact Dermatitis",0.9836325314653463,0.5179433827936121,#FF0000
"Reinforced Plastics",0.44457858042836057,0.7477006195337788,#2dffff
"Acta Linguistica Hungarica",0.2178231907009384,0.07933882056628505,#EE9A00
"Journal of Nuclear Materials",0.3402976347418695,0.7073949694386855,#663788
"Revista Chilena De Cirugia",0.8437171962629186,0.21940590917394912,#FF0000
"Journal of Historical Geography",0.3675591197654052,0.5206154821429445,#ffff0c
"Journal of The Chinese Medical Association",0.7177414799230207,0.3747979285147332,#FF0000
"Resources for American Literary Study",0.13841882024778301,0.2153404204992618,#EE9A00
"Fems Microbiology Letters",0.7667857129400767,0.6966932487546694,#8B0000
"International Security",0.1941016682356203,0.34201243052875946,#ffff0c
"Policy and Society",0.2355807231636832,0.37092089524645977,#ffff0c
"Musicae Scientiae",0.15382694111624398,0.12595427656739094,#ffff0c
"Forensische Psychiatrie, Psychologie, Kriminologie",0.3705774703811796,0.2181201045817078,#CDC673
"Autophagy",0.7507785692132598,0.5587422267370453,#8B0000
"Journal of Equine Veterinary Science",0.8576100163463858,0.8062251635961409,#8B0000
"Information Management & Computer Security",0.21325902139879446,0.5054234687018522,#fb01ff
"Estonian Journal of Ecology",0.5456091060180888,0.8878745428251862,#20c157
"Wetlands Ecology and Management",0.5583603567405672,0.8688242062135736,#20c157
"Theoretical Ecology",0.5767361389175475,0.8685270004034875,#20c157
"Journal of Optimization Theory and Applications",0.15315602099557196,0.7051434209919664,#663788
"The Journal for Nurse Practitioners",0.6298012239125678,0.2935958993544853,#FF0000
"Acta Microbiologica Et Immunologica Hungarica",0.7915641969001903,0.6933307533271084,#20c157
"Indian Journal of Critical Care Medicine",0.6560703279796585,0.12239824521593755,#FF0000
"The International Journal of Lower Extremity Wounds",0.7915162396033472,0.14050078195135055,#8B6508
"Europace",0.8259525130607225,0.3213022494946932,#FF0000
"Veterinarski Arhiv",0.8296514968917368,0.7898040342837652,#8B0000
"Boletim De Ciencias Geodesicas",0.373688727646788,0.5884110484487646,#FF6600
"Colloid Journal",0.4910149877516569,0.7259274013767908,#0001fa
"Rivista Di Psichiatria",0.5022365307031404,0.2027035210743892,#CDC673
"International Journal of Science and Mathematics Education",0.3600729973694689,0.09242090450834622,#ffff0c
"Behavior Analyst",0.4205484512408285,0.2802824123935412,#CDC673
"Protein Expression and Purification",0.725533136366566,0.6726979928370816,#6B8E23
"Biostatistics",0.4605315824770724,0.4453375549988097,#ffff0c
"E-journal of Chemistry",0.5632774913921127,0.7010967693178275,#2dffff
"Economica",0.17143037439426634,0.4780543982647477,#ffff0c
"Environmental Research Letters",0.4161924081941907,0.5502846903189543,#FF6600
"Social Science Information",0.2387532826520884,0.2342474953125855,#FF6600
"Cell Biochemistry and Function",0.7013554296095357,0.5413553186439128,#8B6508
"Petrology",0.3935335634162141,0.9367308044584084,#FF6600
"Chemical & Engineering News",0.5451599088504787,0.7068981796209532,#2dffff
"Interactive Learning Environments",0.3364637971042904,0.0904814705023414,#ffff0c
"New Zealand Veterinary Journal",0.852526897650928,0.7774111677340382,#8B0000
"Japanese Journal of Veterinary Research",0.8358047108788481,0.7834964971103363,#8B0000
"Review of International Political Economy",0.18137916000611395,0.3376535141370701,#ffff0c
"Journal of Operator Theory",0.12765774924115522,0.7899886733704699,#663788
"Management and Organization Review",0.309393328558511,0.43670904260267496,#ffff0c
"Archaeology",0.22529581858750525,0.42522785686714987,#EE9A00
"Mutation Research-dna Repair",0.7479199921310207,0.5865550142823955,#8B0000
"Critical Reviews in Neurobiology",0.5260459478838524,0.3739550296176389,#CDC673
"Boletin De La Sociedad Botanica De Mexico",0.629994180888495,0.8444701438064323,#20c157
"Geodiversitas",0.4304612927751098,0.9653082585041064,#FF6600
"Human Movement Science",0.4536195898470474,0.37379705951117603,#CDC673
"Horticultura Brasileira",0.6691408613285494,0.7629788371735253,#20c157
"Journal of Biological Rhythms",0.5104041811720342,0.30328463153192914,#CDC673
"Soil Biology & Biochemistry",0.6004742155696107,0.7865185235793796,#20c157
"Bosque",0.6131622615939498,0.8227477578030018,#20c157
"Current Alzheimer Research",0.5262114813188163,0.3701426151429537,#CDC673
"Journal of Radioanalytical and Nuclear Chemistry",0.4734293547853056,0.5695587638433831,#FF0000
"Biological Journal of The Linnean Society",0.6182490422907704,0.8956279490714216,#20c157
"British Journal of Infection Control",0.6098904818757257,0.2602318260930707,#8B6508
"Cytometry",0.8550617615971081,0.5175159510112886,#8B0000
"Journal of Vibration and Acoustics-transactions of The Asme",0.2855798485065509,0.7341008063735408,#2dffff
"European Journal of Transport and Infrastructure Research",0.2768822185235631,0.5822018853905601,#2dffff
"Journal of Consumer Research",0.3533324932558845,0.4226205097108926,#ffff0c
"Catalysis Surveys From Japan",0.4983383362807408,0.7068237826540743,#0001fa
"International Research in Geographical and Environmental Education",0.3830355550754493,0.4969306255412266,#ffff0c
"Journal of Signal Processing Systems",0.17157584787475533,0.6415858742393271,#fb01ff
"Canadian Journal of Economics",0.17231204126160785,0.4760920078279433,#ffff0c
"International Journal of Mobile Network Design and Innovation",0.13695953048528114,0.6133203070535064,#fb01ff
"Saudi Journal of Gastroenterology",0.8865107722228921,0.2217212768224092,#FF0000
"Physical & Occupational Therapy in Pediatrics",0.4947079726814429,0.0922221597420319,#CDC673
"Icelandic Agricultural Sciences",0.6319411312356965,0.8037138725756486,#20c157
"Journal of Genetic Counseling",0.7674439600439243,0.4637910350807022,#FF0000
"Periodica Polytechnica Social and Management Sciences",0.2932116324664133,0.4355790077531928,#ffff0c
"Behavior Research Methods",0.4157984692793105,0.3134028644447867,#CDC673
"Nature Immunology",0.8793919409876997,0.5662041916938119,#8B0000
"Eksploatacja I Niezawodnosc-maintenance and Reliability",0.3095026274202558,0.7233536601714875,#ffff0c
"Journal of Group Theory",0.08620413794191678,0.7811825896265957,#663788
"Critical Reviews in Biomedical Engineering",0.5108644895401088,0.5227025730799726,#8B6508
"Standort",0.34858036133407233,0.5193808928972918,#ffff0c
"Cancer Cytopathology",0.8648621879450825,0.4273249125974761,#FF0000
"Applied Mathematical Finance",0.08897937310317966,0.4703129045256345,#663788
"Bioseparation",0.716791633047663,0.6908896348156345,#6B8E23
"Ornitologia Neotropical",0.5950022675385496,0.9192722977464912,#20c157
"Neurosurgery Clinics of North America",0.6815139990773892,0.1734174406768892,#CDC673
"Historical Records of Australian Science",0.13678968160490215,0.29159886679807584,#EE9A00
"Journal Francais D Ophtalmologie",0.5256349976340337,0.4332751097025303,#FF0000
"Journal of Clinical Psychopharmacology",0.5136666515883089,0.2276459346572129,#CDC673
"Peabody Journal of Education",0.3869786036679684,0.046621561489194274,#ffff0c
"Veliger",0.5752216380960427,0.963871449570453,#20c157
"Molecular Pharmaceutics",0.5497790920617,0.5783013641077033,#0001fa
"European Journal of Health Economics",0.5845432583629839,0.3474424791005193,#8B6508
"Proceedings of The Edinburgh Mathematical Society",0.10198643962886103,0.7258814885476321,#663788
"Learning Inquiry",0.3587771290636489,0.05901745317669885,#ffff0c
"Harvard Civil Rights-Civil Liberties Law Review",0.25067916560617315,0.3151936335636806,#ffff0c
"Endocrinology and Metabolism Clinics of North America",0.7684876994926596,0.3974715696109861,#FF0000
"Annual Review of Marine Science",0.5153875703765157,0.9266176454852482,#FF6600
"European Journal of Dermatology",0.9677779148690714,0.5241442211504526,#FF0000
"Journal of Laser Applications",0.3732247290229406,0.6991700801985439,#2dffff
"Japanese Journal of Political Science",0.1999715826338063,0.32419011371581946,#ffff0c
"Modern China",0.20313413645267786,0.2964197915183365,#ffff0c
"Journal of Proteomics",0.7342939191917659,0.6084735361905919,#8B0000
"Current Urology Reports",0.9444575873057554,0.3141821777546401,#FF0000
"Isis",0.07235712126981332,0.2627642586981322,#EE9A00
"Seminars in Pediatric Neurology",0.6668410653140452,0.20939618908152496,#CDC673
"Journal of Physiological Sciences",0.7061945455259531,0.5258489377309412,#8B6508
"Additives for Polymers",0.08593406321322647,0.7956147879261327,#0001fa
